Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/11/2013,1,Tablet,Google,Reach,Display,AMS,Reach,166.084,2378
1/12/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,2583.94,8622
1/12/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,76.6,94
1/12/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,169.12,918
1/13/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4108.55,15686
1/13/2013,1,Mobile,Google,Reach,Display,Global,Reach,963.4,1328
1/13/2013,1,Tablet,Google,Reach,Display,AMS,Reach,220.34,3090
1/14/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,3280.74,9904
1/14/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,49.56,48
1/14/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,11.56,70
1/15/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4032.814,16570
1/15/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,376.7,2506
1/16/2013,1,Mobile,Google,Reach,Display,AMS,Reach,846.736,8234
1/16/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,3.14,22
1/17/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,213.56,1688
1/18/2013,1,Mobile,Google,Reach,Display,AMS,Reach,379.61,5262
1/18/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,166.12,776
1/18/2013,1,Unknown,Google,Reach,Display,AMS,Reach,2.094,6
1/19/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,7.6,46
1/19/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,10.2,12
1/19/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,11.52,8
1/20/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,303.86,1408
1/21/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,181.88,370
1/21/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,388.68,1814
1/21/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,9.86,70
1/21/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,10.02,14
1/21/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,5.66,6
1/23/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,174.4,296
1/23/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,393.14,2090
1/23/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,310.26,2522
1/23/2013,1,Tablet,Google,Reach,Display,Global,Reach,138.86,112
1/24/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,8.56,12
1/25/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,4535.06,25694
1/1/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,612.14,4768
1/1/2013,1,Desktop,Google,Reach,Display,Global,Reach,400.24,232
1/1/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,96.74,714
1/2/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,2023.9,13628
1/2/2013,1,Mobile,Google,Reach,Display,Global,Reach,684.92,892
1/3/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1546.42,6936
1/3/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,203.88,164
1/3/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,111.74,672
1/3/2013,1,Unknown,Google,Legacy,Display,AMS,Reach,0.34,2
1/4/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,2058.26,8002
1/4/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,225.4,172
1/4/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,103.76,178
1/4/2013,1,Tablet,Google,Reach,Display,AMS,Reach,217.422,3404
1/5/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4331.7,18364
1/5/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,320.6,2812
1/5/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,133.56,206
1/5/2013,1,Mobile,Google,Reach,Display,Global,Reach,1076.76,1346
1/5/2013,1,Tablet,Google,Reach,Display,AMS,Reach,297.108,4478
1/5/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,25.86,104
1/6/2013,1,Mobile,Google,Reach,Display,Global,Reach,1042.78,1642
1/8/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4402.784,20940
1/8/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,185.26,1696
1/8/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,19.24,84
1/9/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,259.6,2206
1/9/2013,1,Mobile,Google,Reach,Display,AMS,Reach,633.346,7636
1/9/2013,1,Unknown,Google,Managed,Display,EMEA,Reach,0.36,2
